English,Hebrew
Aaron,אהרן
Abigail,אביגיל
Adam,אדם
Adele,עדל
Alexander,אלכסנדר
Alice,עליזה
Alicia,אלישיה
Amanda,אמנדה
Amos,עמוס
Andrew,אנדרו
Angela,אנג'לה
Anna,אנה
Anthony,אנתוני
Ariel,אריאל
Asher,אשר
Barbara,ברברה
Benjamin,בנימין
Caleb,כלב
Caroline,קרולין
Charles,צ'ארלס
Chloe,קלואי
Daniel,דניאל
David,דוד
Deborah,דבורה
Diana,דיאנה
Dorothy,דורותי
Eden,עדן
Edward,אדוארד
Elizabeth,אלישבע
Eli,אלי
Elijah,אליהו
Emily,אמילי
Emma,אמה
Ethan,איתן
Eve,חוה
Gabriel,גבריאל
George,ג'ורג'
Grace,גרייס
Hannah,חנה
Isaac,יצחק
Isabel,איזבל
Isaiah,ישעיהו
Jacob,יעקב
James,יעקב
Jane,ג'יין
Jasmine,יסמין
Jason,ג'ייסון
Jennifer,ג'ניפר
Jeremiah,ירמיהו
Jesse,ישי
Jessica,ג'סיקה
Joanna,יואנה
John,יוחנן
Jonathan,יהונתן
Joseph,יוסף
Joshua,יהושע
Joy,ג'וי
Judith,יהודית
Julia,יוליה
Justin,ג'סטין
Karen,קארן
Katherine,קתרין
Kayla,קיילה
Leah,לאה
Leo,ליאו
Levi,לוי
Liam,ליאם
Lillian,ליליאן
Lily,לילי
Luke,לוק
Madeline,מדלין
Maria,מריה
Mark,מרק
Martha,מרתה
Mary,מרים
Matthew,מתתיהו
Maya,מאיה
Meir,מאיר
Michael,מיכאל
Miriam,מרים
Nathan,נתן
Naomi,נעמי
Nicole,ניקול
Noah,נח
Nora,נורה
Olivia,אוליביה
Paul,פול
Rachel,רחל
Rebecca,רבקה
Ruth,רות
Samuel,שמואל
Sarah,שרה
Sharon,שרון
Simon,שמעון
Sophie,סופי
Stephen,סטיבן
Susan,סוזן
Thomas,תומס
Tobias,טוביה
Victoria,ויקטוריה
William,ויליאם
Zachary,זכריה
