value code,table name,title_heb,title_eng,title_rus
T5267,??? ????,????? ?????,USA,???
T5268,??? ????,??????,??????,??????
T5269,??? ????,????,Greece,??????
T5270,??? ????,?????,Latvia,??????
T5271,??? ????,?????,?????,?????
T5272,??? ????,????,Canada,??????
T5273,??? ????,??????,Italy,??????
T5274,??? ????,?????,Ginea,??????
T5275,??? ????,?????,Haiti,?????
T5276,??? ????,????,Togo,wor
T5277,??? ????,?????,Kuwait,??????
T5278,??? ????,?????,Lesotho,??????
T5279,??? ????,?????,Monaco,??????
T5280,??? ????,??????,Mexico,???????
T5281,??? ????,?????,Marocco,???????
T5282,??? ????,?????,Nauru,?????
T5283,??? ????,???,Peru,????
T5284,??? ????,?'??,Chad,???
T5285,??? ????,?'???,Chile,????
T5286,??? ????,?'???,Chechia,?????
T5287,??? ????,????,Cuba,????
T5288,??? ????,??????,Comoro,??????
T5289,??? ????,??????,Somalia,??????
T5290,??? ????,???????,Norway,????????
T5291,??? ????,??????,Nigeria,???????
T5292,??? ????,??? ?????,New Zealand,????? ????????
T5293,??? ????,????????,Nicaragua,?????????
T5294,??? ????,??????,Namibia,???????
T5295,??? ????,??? ???? ?????????,??? ???? ?????????,???-???? ? ????????
T5296,??? ????,????????,Swaziland,?????????
T5297,??? ????,???????,Suriname,???????
T5298,??? ????,????? ?????,Sierra Leone,?????? ????
T5299,??? ????,?????,Seychelles,???????
T5300,??? ????,???????,Singapur,????????
T5301,??? ????,???????,Slovenia,????????
T5302,??? ????,?? ?????,San Marino,???-??????
T5303,??? ????,????? ?????????,Serbia Montenegro,?????? ? ??????????
T5304,??? ????,??? ????,Sri Lanka,???-?????
T5305,??? ????,??? ???????,Saudi Arab,?????????? ???????
T5306,??? ????,???????,Portugal,??????????
T5307,??? ????,??????,Finland,?????????
T5308,??? ????,??????,Pakistan,????????
T5309,??? ????,???????,Paraguay,????????
T5310,??? ????,???? ??????,North Korea,???????? ?????
T5311,??? ????,????????,Colombia,????????
T5312,??? ????,??????,Angola,??????
T5313,??? ????,??????,Andora,???????
T5314,??? ????,?????,Syria,?????
T5315,??? ????,?????,Gambia,??????
T5316,??? ????,?????,Grenada,???????
T5317,??? ????,?????,Zambia,??????
T5318,??? ????,??????,Tuvalu,??????
T5319,??? ????,?????,Tonga,?????
T5320,??? ????,???,Japan,??????
T5321,??? ????,????,Jordan,????????
T5322,??? ????,?????,Samoa,?????
T5323,??? ????,????,Senegal,???????
T5324,??? ????,????,Spain,???????
T5325,??? ????,?????,Oman,????
T5326,??? ????,????,Laos,????
T5327,??? ????,???,Libya,?????
T5328,??? ????,?????,Denmark,?????
T5329,??? ????,????,India,?????
T5330,??? ????,??????,Turkey,??????
T5331,??? ????,?????,Israel,???????
T5332,??? ????,?????,Lebanon,?????
T5333,??? ????,?????,Serbia,??????
T5334,??? ????,?????,Brazil,????????
T5335,??? ????,??????,Gruzia,??????
T5336,??? ????,????,Lithuania,?????
T5337,??? ????,?????,Egypt,??????
T5338,??? ????,?????,Belgium,???????
T5339,??? ????,????,Iran,????
T5340,??? ????,??????,England,??????
T5341,??? ????,????,Mali,????
T5342,??? ????,?????  ,?????  ,?????  
T5343,??? ????,??????????,Uzbekistan,??????????
T5344,??? ????,???????,Austria,???????
T5345,??? ????,????????,Australia,?????????
T5346,??? ????,???????,Bulgaria,????????
T5347,??? ????,??????-???????,Austro-Hungary,??????-???????
T5348,??? ????,????????,Ukraine,???????
T5349,??? ????,??????,Ireland,????????
T5350,??? ????,???'????,Algeria,?????
T5351,??? ????,????????,Argentina,?????????
T5352,??? ????,?????,Iraq,????
T5353,??? ????,?????,Poland,??????
T5354,??? ????,????,France,???????
T5355,??? ????,??????,Belarus,??????????
T5356,??? ????,???????,Great Britain,??????????????
T5357,??? ????,???? ???????,USSR,????
T5358,??? ????,??????,Galizia,???????
T5359,??? ????,??????,Germany,????????
T5360,??? ????,???? ??????,South Africa,????? ??????
T5361,??? ????,?????,Holland,?????????
T5362,??? ????,???????,Hungary,???????
T5363,??? ????,??????????,Transilvania,?????????????
T5364,??? ????,?????????,Yugoslavia,?????????
T5365,??? ????,?????????,Luxembourg,??????????
T5366,??? ????,???????,Moldavia,????????
T5367,??? ????,???????,Macedonia,?????????
T5368,??? ????,???????,Slovakia,????????
T5369,??? ????,???????,Scotland,?????????
T5370,??? ????,?????,Russia,??????
T5371,??? ????,???????,Tunis,?????
T5372,??? ????,??????,Uganda,??????
T5373,??? ????,?'?????????,Czechoslovakia,????????????
T5374,??? ????,??????,Romania,???????
T5375,??? ????,?????,Switzerland,?????????
T5376,??? ????,?????????,Urugway,???????
T5377,??? ????,???????'?,Azerbaidjan,???????????
T5378,??? ????,??? ????,Marshall Islands,?????????? ???????
T5379,??? ????,??? ????,Solomon Islands,?????????? ???????
T5380,??? ????,?????????,Indonesia,?????????
T5381,??? ????,??????,Island,????????
T5382,??? ????,?? ???????,El Salvador,??? ?????????
T5383,??? ????,??????,Albania,???????
T5386,??? ????,???????,Equador,???????
T5387,??? ????,????????,Erithrea,???????
T5388,??? ????,??????,Myanmar,??????
T5389,??? ????,??????,Malawi,??????
